Post Office Name,ÊPincode,Districts Name,City Name,State,
Barbheta,Ê785004,Jorhat,Jorhat,Assam,
Barduar,Ê781120,Kamrup,Guwahati,Assam,
Barghola Srijangram,Ê783386,Bongaigaon,Bongaigaon,Assam,
Barhalla,Ê785631,Jorhat,Jorhat,Assam,
Barhapjan,Ê786150,Dibrugarh,Dibrugarh,Assam,
Barjalenga,Ê788117,Chacher,Silchar,Assam,
Barjuli,Ê784504,Sonitpur,Tezpur,Assam,
Barkhola,Ê788019,Chacher,Silchar,Assam,
Baroigram,Ê788723,Karimganj,Karimganj,Assam,
Barpathar,Ê785602,Jorhat,Barpathar,Assam,
Barpeta,Ê781301,Barpeta,Barpeta,Assam,
Barpeta Bazar,Ê781301,Barpeta,Barpeta,Assam,
Barpeta Road,Ê781315,Barpeta,Barpeta,Assam,
Barsola,Ê784118,Sonitpur,Tezpur,Assam,
Baruabamungaon,Ê785618,Jorhat,Jorhat,Assam,
Basugaon,Ê783372,Kokrajhar,Basugaon,Assam,
Batadrava,Ê782122,Nagaon,Nagaon,Assam,
Batasipur,Ê784119,Sonitpur,Tezpur,Assam,
Bazarghat,Ê788733,Karimganj,Karimganj,Assam,
Bazaricherra,Ê788727,Karimganj,Karimganj,Assam,
Bebejia,Ê782142,Nagaon,Nagaon,Assam,
Bedeti,Ê784179,Sonitpur,Tezpur,Assam,
Bedlipar,Ê785611,Jorhat,Jorhat,Assam,
Behali,Ê784166,Sonitpur,Tezpur,Assam,
Behara Bazar,Ê788817,Chacher,Silchar,Assam,
Bekirpar,Ê788123,Chacher,Silchar,Assam,
Belsore,Ê781304,Nalbari,Nalbari,Assam,
Beltala,Ê781028,Kamrup,Guwahati,Assam,
Bengenakhowa,Ê785621,Jorhat,Golaghat,Assam,
Berhampur,Ê782102,Nagaon,Nagaon,Assam,
Besseria,Ê784150,Sonitpur,Tezpur,Assam,
Betbari,Ê785660,Sibsagar,Sibsagar,Assam,
Bezara,Ê781121,Kamrup,Guwahati,Assam,
Bhagabazar,Ê788120,Chacher,Silchar,Assam,
Bhairab Kunda,Ê784513,Darranga,Mangaldoi,Assam,
Bhangabazar,Ê788701,Karimganj,Karimganj,Assam,
Bharalumukh,Ê781009,Kamrup,Guwahati,Assam,
Bhella,Ê781309,Barpeta,Barpeta,Assam,
Bhogdaimukh,Ê785001,Jorhat,Jorhat,Assam,
Bhowanipur,Ê781352,Barpeta,Barpeta,Assam,
Bhuragaon,Ê782121,Nagaon,Nagaon,Assam,
Bhuragoan,Ê782121,Marigaon,Marigaon,Assam,
Bidyapur,Ê781335,Nalbari,Nalbari,Assam,
Bihupuria,Ê784161,Lakhimpur,North Lakhimpur,Assam,
Bijni,Ê783390,Bongaigaon,Bijni,Assam,
Bijoy Nagar,Ê781122,Kamrup,Guwahati,Assam,
Bilashipara,Ê783348,Sonitpur,Tezpur,Assam,
Bindukuri,Ê784502,Sonitpur,Tezpur,Assam,
Binnakand,Ê788126,Chacher,Silchar,Assam,
Binova Nagar,Ê781018,Kamrup,Guwahati,Assam,
Biswanathghat,Ê784177,Sonitpur,Tezpur,Assam,
Bogribari,Ê783349,Dhubri,Dhubri,Assam,
Boitamari,Ê783389,Goalpara,Goalpara,Assam,
Bokajan,Ê782480,Karbi Anglong,Bokajan,Assam,
Bokajan Cement Factory,Ê782470,Karbi Anglong,Diphu,Assam,
Bokakhat,Ê785612,Golaghat,Bokakhat,Assam,
Boko,Ê781123,Kamrup,Guwahati,Assam,
Bongaigaon,Ê783380,Bongaigaon,Bongaigaon,Assam,
Borhat,Ê785693,Sibsagar,Sibsagar,Assam,
Borkhola,Ê788110,Chacher,Silchar,Assam,
Brahmanshasan,Ê788740,Karimganj,Karimganj,Assam,
Chabua,Ê786184,Dibrugarh,Chabua,Assam,
Chabua Air Field,Ê786102,Dibrugarh,Dibrugarh,Assam,
Chakchaki Bazar,Ê781320,Kamrup,Guwahati,Assam,
Chamata,Ê781306,Nalbari,Nalbari,Assam,
Chandkhira,Ê788725,Karimganj,Karimganj,Assam,
Chandkuchi,Ê781336,Nalbari,Nalbari,Assam,
Chandrapur,Ê781150,Kamrup,Guwahati,Assam,
Changsari,Ê781101,Kamrup,Guwahati,Assam,
Chapakhowa,Ê786157,Dibrugarh,Dibrugarh,Assam,
Chapanalla,Ê782135,Nagaon,Nagaon,Assam,
Chapar,Ê783371,Dhubri,Chapar,Assam,
Chaparmukh,Ê782425,Nagaon,Nagaon,Assam,
Char Bazar,Ê788710,Karimganj,Karimganj,Assam,
Charali,Ê784176,Sonitpur,Tezpur,Assam,
Charduar,Ê784103,Sonitpur,Tezpur,Assam,
Chargola Bazar,Ê788708,Karimganj,Karimganj,Assam,
Charing,Ê785661,Sibsagar,Sibsagar,Assam,
Chenga,Ê781305,Barpeta,Barpeta,Assam,
Chengligaon,Ê785010,Sibsagar,Sibsagar,Assam,
Chenikuthi,Ê781003,Kamrup,Guwahati,Assam,
Chhaygaon,Ê781124,Kamrup,Guwahati,Assam,
Chinnamara,Ê785008,Jorhat,Jorhat,Assam,
Chiparsangam,Ê788145,Karimganj,Karimganj,Assam,
Chokihola,Ê782475,Karbi Anglong,Diphu,Assam,
Chouki Dingee,Ê786001,Dibrugarh,Dibrugarh,Assam,
Daboka,Ê782440,Nagaon,Nagaon,Assam,
Dakhinpatsatra,Ê785102,Jorhat,Jorhat,Assam,
Dalgaon,Ê784116,Darranga,Mangaldoi,Assam,
Dalu,Ê788111,Chacher,Silchar,Assam,
Damru,Ê783122,Goalpara,Goalpara,Assam,
Darkuchi,Ê781376,Nalbari,Nalbari,Assam,
Darrangiri,Ê783134,Goalpara,Goalpara,Assam,
Darrangpanbari,Ê784111,Darranga,Mangaldoi,Assam,
Datma,Ê783347,Kokrajhar,Kokrajhar,Assam,
Demow,Ê785662,Sibsagar,Sibsagar,Assam,
Deomarnai,Ê784147,Darranga,Mangaldoi,Assam,
Derby,Ê788112,Chacher,Silchar,Assam,
Dergaon,Ê785614,Golaghat,Dergaon,Assam,
Dergaon Charali,Ê785614,Golaghat,Golaghat,Assam,
Desangmukh,Ê785663,Sibsagar,Sibsagar,Assam,
Dewan,Ê788102,Chacher,Silchar,Assam,
Dewanji Bazar,Ê788001,Chacher,Silchar,Assam,
Dhakuakhana,Ê787055,Lakhimpur,North Lakhimpur,Assam,
Dhaligaon,Ê783385,Kokrajhar,Kokrajhar,Assam,
Dhansiripar,Ê782470,Golaghat,Golaghat,Assam,
Dharamsala,Ê783325,Kokrajhar,Kokrajhar,Assam,
Dharamtul,Ê782412,Nagaon,Nagaon,Assam,
Dharapur,Ê781133,Kamrup,Dharapur,Assam,
Dhekhial,Ê785622,Jorhat,Jorhat,Assam,
Dhekiajuli,Ê784110,Sonitpur,Dhekiajuli,Assam,
Dhekiakhowa,Ê785113,Jorhat,Jorhat,Assam,
Dhemaji,Ê787057,Dhemaji,Dhemaji,Assam,
Dhing,Ê782123,Nagaon,Dhing,Assam,
Dholai Bazar,Ê788114,Chacher,Silchar,Assam,
Dholarsatra,Ê785001,Jorhat,Jorhat,Assam,
Dholepur,Ê784165,Lakhimpur,North Lakhimpur,Assam,
Dhubri,Ê783301,Dhubri,Dhubri,Assam,
Dhubri Baluchar,Ê783301,Dhubri,Dhubri,Assam,
Dhubri Bazar,Ê783301,Dhubri,Dhubri,Assam,
Dhupdhara,Ê783123,Goalpara,Goalpara,Assam,
Dibrugarh,Ê786001,Dibrugarh,Dibrugarh,Assam,
Dibrugarh Central,Ê786003,Dibrugarh,Dibrugarh,Assam,
Dibrugarh University,Ê786004,Dibrugarh,Dibrugarh,Assam,
Digaru,Ê782401,Kamrup,Guwahati,Assam,
Digboi,Ê786171,Dibrugarh,Digboi,Assam,
Digboi Charali,Ê786171,Dibrugarh,Dibrugarh,Assam,
Dikom,Ê786101,Dibrugarh,Dibrugarh,Assam,
Dikrong,Ê784164,Sonitpur,Tezpur,Assam,
Dimakuchi,Ê784526,Darranga,Mangaldoi,Assam,
Dingdinga,Ê783333,Kokrajhar,Kokrajhar,Assam,
Dinjan,Ê786185,Dibrugarh,Dibrugarh,Assam,
Diphu,Ê782460,Karbi Anglong,Diphu,Assam,
Dispur,Ê781005,Kamrup,Guwahati,Assam,
Dohatia,Ê785617,Jorhat,Jorhat,Assam,
Donkamukam,Ê782485,Karbi Anglong,Diphu,Assam,
Doomdooma,Ê786151,Dibrugarh,Dibrugarh,Assam,
Doomdooma,Ê786151,Tinsukia,Tinsukia,Assam,
Doomni,Ê781373,Nalbari,Nalbari,Assam,
Dudnai,Ê783124,Goalpara,Goalpara,Assam,
Duliajan,Ê786602,Dibrugarh,Dibrugarh,Assam,
Dullavcherra,Ê788736,Karimganj,Karimganj,Assam,
Durgabari,Ê786125,Dibrugarh,Dibrugarh,Assam,
Dwarband,Ê788113,Chacher,Silchar,Assam,
Engineering College,Ê788010,Chacher,Silchar,Assam,
Fakiragram,Ê783345,Kokrajhar,Kokrajhar,Assam,
Fakirganj,Ê783330,Dhubri,Dhubri,Assam,
Fancy Bazar,Ê781001,Kamrup,Guwahati,Assam,
Fulanibari,Ê785103,Sibsagar,Sibsagar,Assam,
Fulertal,Ê788106,Chacher,Silchar,Assam,
Furkating,Ê785610,Jorhat,Jorhat,Assam,
Galeki,Ê785696,Sibsagar,Sibsagar,Assam,
Garali,Ê785001,Jorhat,Jorhat,Assam,
Garmursatra,Ê785104,Jorhat,Jorhat,Assam,
Garuphela Bazar,Ê783362,Kokrajhar,Kokrajhar,Assam,
Gatonga,Ê785616,Jorhat,Jorhat,Assam,
Gauri Sagar,Ê785664,Sibsagar,Sibsagar,Assam,
Ghilamara,Ê787053,Lakhimpur,North Lakhimpur,Assam,
Gingia,Ê784184,Sonitpur,Tezpur,Assam,
Goalpara,Ê783101,Goalpara,Goalpara,Assam,
Gograpar,Ê781369,Nalbari,Nalbari,Assam,
Gohpur,Ê784168,Sonitpur,Gohpur,Assam,
Golaghat,Ê785621,Golaghat,Golaghat,Assam,
Golakganj,Ê783334,Dhubri,Dhubri,Assam,
Gopal Bazar,Ê781353,Nalbari,Nalbari,Assam,
Gopinath Nagar,Ê781016,Kamrup,Guwahati,Assam,
Gores War,Ê781366,Kamrup,Guwahati,Assam,
Gossain Gaon,Ê783360,Kokrajhar,Kokrajhar,Assam,
Gouri Pur,Ê783331,Dhubri,Dhubri,Assam,
Graham Bazar,Ê786001,Dibrugarh,Dibrugarh,Assam,
Gurucharan College,Ê788004,Chacher,Silchar,Assam,
Guwahati,Ê781001,Kamrup,Guwahati,Assam,
Guwahati Airport,Ê781015,Kamrup,Guwahati,Assam,
Guwahati University,Ê781014,Kamrup,Guwahati,Assam,
Haflong,Ê788819,North Cacher Hills,Haflong,Assam,
Haflong Ptc,Ê788819,North Cacher Hills,Haflong,Assam,
Hahchara,Ê785701,Dibrugarh,Dibrugarh,Assam,
Hahim Bazar,Ê781129,Kamrup,Guwahati,Assam,
Haibargaon,Ê782002,Nagaon,Nagaon,Assam,
Hailakandi,Ê788151,Hailakandi,Hailakandi,Assam,
Hajo,Ê781102,Kamrup,Guwahati,Assam,
Halem,Ê784170,Sonitpur,Tezpur,Assam,
Hamren,Ê782486,Karbi Anglong,Hamren,Assam,
Harangajao,Ê788818,North Cacher Hills,Haflong,Assam,
Haribhanga,Ê781378,Nalbari,Nalbari,Assam,
Harisinga,Ê784510,Darranga,Mangaldoi,Assam,
Harlongpher,Ê782447,Nagaon,Nagaon,Assam,
Hatibandha,Ê786186,Jorhat,Kalaigaon,Assam,
Hatigarh,Ê784524,Darranga,Mangaldoi,Assam,
Hatikhira,Ê788726,Karimganj,Karimganj,Assam,
Hazrapara,Ê784001,Sonitpur,Tezpur,Assam,
Hilara Colony,Ê788808,Chacher,Silchar,Assam,
Hojai,Ê782435,Nagaon,Hojai,Assam,
Hojai Bazar,Ê782435,Nagaon,Nagaon,Assam,
Hoogrijan,Ê786601,Dibrugarh,Dibrugarh,Assam,
Hospital Road Raniganj,Ê783344,Dhubri,Dhubri,Assam,
Howli,Ê781316,Barpeta,Howli,Assam,
Howraghat,Ê782481,Karbi Anglong,Howraghat,Assam,
Irongmara,Ê788124,Chacher,Silchar,Assam,
Islamgaon,Ê787054,Lakhimpur,North Lakhimpur,Assam,
Jaffirband,Ê788160,Chacher,Silchar,Assam,
Jagara,Ê781310,Nalbari,Nalbari,Assam,
Jagi Road,Ê782410,Nagaon,Nagaon,Assam,
Jagibhakatagon,Ê782411,Nagaon,Nagaon,Assam,
Jakhalbandha,Ê782136,Nagaon,Nagaon,Assam,
Jalaghat,Ê781327,Barpeta,Barpeta,Assam,
Jalalpur,Ê788816,Chacher,Silchar,Assam,
Jalan Nagar,Ê786005,Dibrugarh,Dibrugarh,Assam,
Jaleswar,Ê783132,Goalpara,Goalpara,Assam,
Jaluguti,Ê782104,Nagaon,Nagaon,Assam,
Jamugurihat,Ê784180,Sonitpur,Tezpur,Assam,
Jamunamukh,Ê782428,Nagaon,Nagaon,Assam,
Jengraimukh,Ê785105,Jorhat,Jorhat,Assam,
Jeypore,Ê786614,Dibrugarh,Dibrugarh,Assam,
Jhalukbari,Ê781013,Kamrup,Guwahati,Assam,
Jhanji,Ê785683,Sibsagar,Sibsagar,Assam,
Jirighat,Ê788104,Chacher,Silchar,Assam,
Jogighopa,Ê783382,Goalpara,Goalpara,Assam,
Jonai,Ê787060,Dhemaji,Dhemaji,Assam,
Jorhat,Ê785001,Jorhat,Jorhat,Assam,
Jorhat Air Field,Ê785005,Jorhat,Jorhat,Assam,
Jorhat Engineering Colleg,Ê785007,Jorhat,Jorhat,Assam,
Jorhat Research Laborator,Ê785006,Jorhat,Jorhat,Assam,
Joynagar,Ê785665,Sibsagar,Sibsagar,Assam,
Joypur Raja Bazar,Ê788107,Chacher,Silchar,Assam,
Jubilee Digboi,Ê786173,Dibrugarh,Dibrugarh,Assam,
Juria,Ê782124,Nagaon,Nagaon,Assam,
Kabuganjbazar,Ê788121,Chacher,Silchar,Assam,
Kacharigaon,Ê784001,Sonitpur,Tezpur,Assam,
Kachugaon,Ê783350,Kokrajhar,Kokrajhar,Assam,
Kadamani,Ê786001,Dibrugarh,Dibrugarh,Assam,
Kahilipara,Ê781019,Kamrup,Guwahati,Assam,
Kaithalkuchi,Ê781370,Nalbari,Nalbari,Assam,
Kakajan,Ê785107,Jorhat,Jorhat,Assam,
Kakapathar,Ê786152,Dibrugarh,Dibrugarh,Assam,
Kakilabari Farm,Ê781330,Barpeta,Barpeta,Assam,
Kalabari,Ê784178,Sonitpur,Tezpur,Assam,
Kalag,Ê781351,Kamrup,Guwahati,Assam,
Kalaigaon,Ê784525,Darranga,Mangaldoi,Assam,
Kalain,Ê788815,Chacher,Silchar,Assam,
Kalaincherra,Ê788812,Chacher,Silchar,Assam,
Kalgachia,Ê781319,Barpeta,Barpeta,Assam,
Kalibari,Ê784001,Sonitpur,Tezpur,Assam,
Kalibari Bazar,Ê788150,Chacher,Silchar,Assam,
Kaliganj Bazar,Ê788720,Karimganj,Karimganj,Assam,
Kalinagar,Ê788801,Chacher,Silchar,Assam,
Kaloogaon,Ê785666,Sibsagar,Sibsagar,Assam,
Kamakhya,Ê781010,Kamrup,Guwahati,Assam,
Kamalabari,Ê785106,Jorhat,Jorhat,Assam,
Kamarbandha Ali,Ê785625,Jorhat,Jorhat,Assam,
Kamargaon Charali,Ê785619,Jorhat,Jorhat,Assam,
Kamarkuchi,Ê781347,Nalbari,Nalbari,Assam,
Kampur,Ê782426,Nagaon,Nagaon,Assam,
Kanai Bazar,Ê788731,Chacher,Silchar,Assam,
Kanakpur,Ê788011,Chacher,Silchar,Assam,
Kaniha,Ê781385,Kamrup,Guwahati,Assam,
Karara,Ê781382,Kamrup,Guwahati,Assam,
Karimganj Bazar,Ê788711,Karimganj,Karimganj,Assam,
Karimganj Court,Ê788710,Karimganj,Karimganj,Assam,
Karimganj Station Road,Ê788710,Karimganj,Karimganj,Assam,
Karinganj,Ê788710,Karimganj,Karimganj,Assam,
Karsontala,Ê784189,Sonitpur,Tezpur,Assam,
Katabari,Ê781319,Barpeta,Barpeta,Assam,
Kathiatali,Ê782427,Nagaon,Nagaon,Assam,
Katigorah,Ê788805,Chacher,Silchar,Assam,
Katlacherra,Ê788161,Chacher,Silchar,Assam,
Kayasthagram,Ê788719,Karimganj,Karimganj,Assam,
Kaziranga Sanctuary,Ê785109,Jorhat,Jorhat,Assam,
Ketekibari,Ê784154,Sonitpur,Tezpur,Assam,
Khanapara,Ê781022,Kamrup,Guwahati,Assam,
Kharguli,Ê781004,Kamrup,Guwahati,Assam,
Kharikatia,Ê785633,Sibsagar,Sibsagar,Assam,
Kharupatiaghat,Ê784115,Darranga,Mangaldoi,Assam,
Khejurbond,Ê788834,North Cacher Hills,Haflong,Assam,
Khelmati,Ê784152,Sonitpur,Tezpur,Assam,
Kheroni,Ê782448,Karbi Anglong,Diphu,Assam,
Khetri,Ê782403,Kamrup,Guwahati,Assam,
Khoirabari,Ê784522,Darranga,Mangaldoi,Assam,
Khonsa,Ê786630,Dibrugarh,Dibrugarh,Assam,
Khowang,Ê785675,Dibrugarh,Dibrugarh,Assam,
Khowangghat,Ê785676,Dibrugarh,Dibrugarh,Assam,
Kokilamukh,Ê785108,Jorhat,Jorhat,Assam,
Kokrajhar,Ê783370,Kokrajhar,Kokrajhar,Assam,
Konwaripukhuri,Ê785011,Dibrugarh,Dibrugarh,Assam,
Kopati,Ê784113,Darranga,Mangaldoi,Assam,
Koria,Ê781339,Nalbari,Nalbari,Assam,
Korokatoli,Ê785015,Dibrugarh,Dibrugarh,Assam,
Kotona,Ê786053,Dibrugarh,Dibrugarh,Assam,
Kowarigaon,Ê786615,Dibrugarh,Dibrugarh,Assam,
Kowerpur,Ê785667,Sibsagar,Sibsagar,Assam,
Krishnai,Ê783126,Dhubri,Dhubri,Assam,
Kukicherra,Ê788162,Chacher,Silchar,Assam,
Kukurmara,Ê781134,Kamrup,Guwahati,Assam,
Kumarikata,Ê781360,Nalbari,Nalbari,Assam,
Kumbhir,Ê788108,Chacher,Silchar,Assam,
Kumbhirgram Air Port,Ê788109,Chacher,Silchar,Assam,
Kundil,Ê786158,Dibrugarh,Dibrugarh,Assam,
Kwaritol,Ê782137,Nagaon,Nagaon,Assam,
Laboc,Ê788125,Chacher,Silchar,Assam,
Lahoal,Ê786010,Dibrugarh,Dibrugarh,Assam,
Lahorighat,Ê782127,Nagaon,Nagaon,Assam,
Lakhi Cherra,Ê788729,Karimganj,Karimganj,Assam,
Lakhiganj Bazar,Ê783351,Kokrajhar,Kokrajhar,Assam,
Lakhipur,Ê788103,Chacher,Lakhipur,Assam,
Lakhipur Goalpara,Ê783129,Goalpara,Goalpara,Assam,
Lakshmishahar,Ê788152,Chacher,Silchar,Assam,
Lakwah,Ê785688,Kamrup,Guwahati,Assam,
Lala,Ê788163,Chacher,Lala,Assam,
Lalamukh,Ê788169,Chacher,Silchar,Assam,
Lalpur Bazar,Ê784514,Darranga,Mangaldoi,Assam,
Laluk,Ê784160,Lakhimpur,North Lakhimpur,Assam,
Langting,Ê788832,North Cacher Hills,Haflong,Assam,
Lanka,Ê782446,Nagaon,Lanka,Assam,
Latu,Ê788721,Karimganj,Karimganj,Assam,
Ledo,Ê786182,Dibrugarh,Dibrugarh,Assam,
Lekhapani,Ê786180,Dibrugarh,Dibrugarh,Assam,
Lengri Bazar,Ê786616,Dibrugarh,Dibrugarh,Assam,
Letekujan,Ê785613,Jorhat,Narayanpur,Assam,
Lezai,Ê786054,Dibrugarh,Dibrugarh,Assam,
Lilabari Air Field,Ê787051,Lakhimpur,North Lakhimpur,Assam,
Link Road,Ê788006,Chacher,Silchar,Assam,
Lokra,Ê784102,Sonitpur,Tezpur,Assam,
Longding,Ê786631,Dibrugarh,Dibrugarh,Assam,
Lumding,Ê782447,Nagaon,Lumding,Assam,
Macharhat,Ê785001,Jorhat,Jorhat,Assam,
Machkhowa,Ê787058,Lakhimpur,North Lakhimpur,Assam,
Mahabhairab,Ê784001,Sonitpur,Tezpur,Assam,
Mahakhal,Ê788706,Karimganj,Karimganj,Assam,
Maharipara,Ê781364,Kamrup,Guwahati,Assam,
Maharipara,Ê781364,Kamrup,Guwahati,Assam,
Mahishasan,Ê788781,Karimganj,Karimganj,Assam,
Mahur,Ê788830,North Cacher Hills,Mahur,Assam,
Maibong,Ê788831,North Cacher Hills,Maibong,Assam,
Maidamia,Ê787032,Lakhimpur,North Lakhimpur,Assam,
Mainbari,Ê781321,Barpeta,Barpeta,Assam,
Majulibangaon,Ê785110,Jorhat,Jorhat,Assam,
Makhibaha,Ê781374,Nalbari,Nalbari,Assam,
Makum Junction,Ê786170,Dibrugarh,Dibrugarh,Assam,
Maligaon Rly Hd Qrs,Ê781011,Kamrup,Guwahati,Assam,
Malugram,Ê788002,Chacher,Silchar,Assam,
Mandia,Ê781308,Barpeta,Barpeta,Assam,
Mangaldai,Ê784125,Darranga,Mangaldoi,Assam,
Manierkhal,Ê788122,Chacher,Silchar,Assam,
Manikganj,Ê788790,Karimganj,Karimganj,Assam,
Manikpur,Ê783392,Kokrajhar,Kokrajhar,Assam,
Manipurbagan,Ê788165,Chacher,Silchar,Assam,
Manja,Ê782461,Karbi Anglong,Diphu,Assam,
Mankachar,Ê783131,Dhubri,Mankachar,Assam,
Mankhooli,Ê786148,Dibrugarh,Dibrugarh,Assam,
Margherita,Ê786181,Dibrugarh,Margherita,Assam,
Margherita,Ê786181,Tinsukia,Tinsukia,Assam,
Mariani,Ê785634,Jorhat,Mariani,Assam,
Marigaon,Ê782105,Nagaon,Marigaon,Assam,
Marigaon,Ê782105,Marigaon,Marigaon,Assam,
Markolong,Ê782001,Nagaon,Nagaon,Assam,
Marwari Patty,Ê782001,Nagaon,Nagaon,Assam,
Matia,Ê783125,Goalpara,Goalpara,Assam,
Matinagar,Ê788099,Chacher,Silchar,Assam,
Maukhuli,Ê781171,Kamrup,Guwahati,Assam,
Mazbat,Ê784507,Darranga,Mangaldoi,Assam,
Mechagarh,Ê785668,Sibsagar,Sibsagar,Assam,
Meherpur,Ê788015,Chacher,Silchar,Assam,
Mijikajan,Ê784173,Sonitpur,Tezpur,Assam,
Mikirbheta,Ê782108,Nagaon,Nagaon,Assam,
Mikirbheta,Ê782108,Marigaon,Marigaon,Assam,
Milonpur,Ê781337,Nalbari,Nalbari,Assam,
Mirza,Ê781125,Kamrup,Guwahati,Assam,
Missa,Ê782138,Nagaon,Nagaon,Assam,
Missamari,Ê784506,Sonitpur,Tezpur,Assam,
Mohanaghat,Ê786008,Dibrugarh,Dibrugarh,Assam,
Mohanbari Air Field,Ê786012,Dibrugarh,Dibrugarh,Assam,
Moheema,Ê785626,Jorhat,Jorhat,Assam,
Moinapara,Ê787029,Lakhimpur,North Lakhimpur,Assam,
Moirabari,Ê782126,Nagaon,Nagaon,Assam,
Monacherra,Ê788164,Chacher,Silchar,Assam,
Moran,Ê785669,Sibsagar,Sibsagar,Assam,
Moranhat,Ê785670,Sibsagar,Moranhat,Assam,
Morowa,Ê781348,Nalbari,Nalbari,Assam,
Mukalmua,Ê781126,Nalbari,Nalbari,Assam,
Muliabari,Ê786171,Dibrugarh,Dibrugarh,Assam,
Murajar Bazar,Ê782439,Nagaon,Nagaon,Assam,
Mussalpur,Ê781372,Nalbari,Nalbari,Assam,
Nagarbera,Ê781127,Kamrup,Guwahati,Assam,
Nagrijuli,Ê781368,Nalbari,Nalbari,Assam,
Nagsankar,Ê784183,Sonitpur,Tezpur,Assam,
Naharbari,Ê784182,Sonitpur,Tezpur,Assam,
Naharkatia,Ê786610,Dibrugarh,Dibrugarh,Assam,
Nakachari,Ê785635,Sibsagar,Sibsagar,Assam,
Nalbari,Ê781335,Nalbari,Nalbari,Assam,
Namrup,Ê786621,Dibrugarh,Namrup,Assam,
Namrup T P S,Ê786622,Dibrugarh,Dibrugarh,Assam,
Namtidol,Ê785684,Sibsagar,Sibsagar,Assam,
Nanoi,Ê782101,Nagaon,Nagaon,Assam,
Naojan,Ê785604,Sibsagar,Sibsagar,Assam,
Narangi,Ê781026,Kamrup,Guwahati,Assam,
Narsingpur,Ê788115,Chacher,Silchar,Assam,
Nazira,Ê785685,Sibsagar,Nazira,Assam,
Neamatighat,Ê785111,Sibsagar,Sibsagar,Assam,
Negheriting,Ê785620,Sibsagar,Sibsagar,Assam,
Nemuguri,Ê785674,Sibsagar,Sibsagar,Assam,
Netaipukhuri,Ê785671,Sibsagar,Sibsagar,Assam,
Netaji Road,Ê786151,Dibrugarh,Dibrugarh,Assam,
New Bongaigaon,Ê783381,Kokrajhar,Kokrajhar,Assam,
Nilambazar,Ê788722,Karimganj,Karimganj,Assam,
Nilbagan,Ê782445,Nagaon,Nagaon,Assam,
Nityananda,Ê781329,Barpeta,Barpeta,Assam,
Nizdhamdhama,Ê781349,Nalbari,Nalbari,Assam,
No-Ali Dhekiajuli,Ê785009,Sonitpur,Tezpur,Assam,
Noonmati,Ê781020,Kamrup,Guwahati,Assam,
North Bongaigaon Borgong,Ê784167,Sonitpur,Tezpur,Assam,
North Guwahati,Ê781030,Kamrup,North Guwahati,Assam,
North Lakhimpur,Ê787001,Lakhimpur,North Lakhimpur,Assam,
Nowboicha,Ê787028,Lakhimpur,North Lakhimpur,Assam,
Nowgong,Ê782001,Nagaon,Nagaon,Assam,
Nowgong Bazar,Ê782001,Nagaon,Nagaon,Assam,
Nowgong Girls College,Ê782002,Nagaon,Nagaon,Assam,
Numaligarh,Ê785615,Jorhat,Jorhat,Assam,
Oating,Ê785603,Jorhat,Jorhat,Assam,
Olivacherra,Ê788737,Karimganj,Karimganj,Assam,
Ongc Colony,Ê785640,Sibsagar,Sibsagar,Assam,
Paboi,Ê784174,Sonitpur,Tezpur,Assam,
Pailapool,Ê788098,Chacher,Silchar,Assam,
Palasbari,Ê781128,Kamrup,Palasbari,Assam,
Palonghat,Ê788116,Chacher,Silchar,Assam,
Paltanbazar,Ê781008,Kamrup,Guwahati,Assam,
Panchali,Ê786001,Dibrugarh,Dibrugarh,Assam,
Panchgram,Ê788802,Chacher,Silchar,Assam,
Panchmile,Ê784025,Sonitpur,Tezpur,Assam,
Pandu,Ê781012,Kamrup,Guwahati,Assam,
Pandu Rly Colony,Ê781012,Kamrup,Guwahati,Assam,
Panerihat,Ê784523,Darranga,Mangaldoi,Assam,
Panigaon,Ê787052,Lakhimpur,North Lakhimpur,Assam,
Panitola,Ê786183,Dibrugarh,Dibrugarh,Assam,
Panjabari,Ê781037,Kamrup,Guwahati,Assam,
Panjabari,Ê781037,Kamrup,Guwahati,Assam,
Parbatia,Ê786125,Dibrugarh,Dibrugarh,Assam,
Parbatpur,Ê786623,Dibrugarh,Dibrugarh,Assam,
Paschimsamaria,Ê781136,Kamrup,Guwahati,Assam,
Patacharkuchi,Ê781326,Barpeta,Barpeta,Assam,
Pathalipahar,Ê784163,Lakhimpur,North Lakhimpur,Assam,
Pathalipam,Ê787056,Lakhimpur,North Lakhimpur,Assam,
Patharighat,Ê784144,Darranga,Mangaldoi,Assam,
Patherkandi,Ê788724,Karimganj,Karimganj,Assam,
Pathsala,Ê781325,Barpeta,Pathsala,Assam,
Patiladah,Ê783391,Kokrajhar,Kokrajhar,Assam,
Phukan Nagar,Ê785640,Sibsagar,Sibsagar,Assam,
Powai,Ê786172,Dibrugarh,Dibrugarh,Assam,
Prakash Bazar,Ê786125,Dibrugarh,Dibrugarh,Assam,
Puranaitambar,Ê785632,Jorhat,Jorhat,Assam,
Puranigudam,Ê782141,Nagaon,Nagaon,Assam,
Raha,Ê782103,Nagaon,Nagaon,Assam,
Rajabari,Ê785014,Jorhat,Bokakhat,Assam,
Rajapara,Ê783133,Goalpara,Goalpara,Assam,
